GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.capitalone.dashboard:jenkins-build-collector,com.capitalone.dashboard,Application,12,0,0,0,4,0,3,0,3,0
com.capitalone.dashboard:jenkins-build-collector,com.capitalone.dashboard.collector,HudsonCollectorTask,272,580,53,65,50,135,48,30,6,13
com.capitalone.dashboard:jenkins-build-collector,com.capitalone.dashboard.collector,HudsonSettings,36,47,1,1,16,19,10,12,9,12
com.capitalone.dashboard:jenkins-build-collector,com.capitalone.dashboard.collector,RestOperationsSupplier,7,0,0,0,2,0,2,0,2,0
com.capitalone.dashboard:jenkins-build-collector,com.capitalone.dashboard.collector,DefaultHudsonClient,461,1406,71,95,90,266,64,53,3,28
com.capitalone.dashboard:jenkins-build-collector,com.capitalone.dashboard.collector,HudsonClient.jobData,9,29,0,0,0,1,2,2,2,2
com.capitalone.dashboard:jenkins-build-collector,com.capitalone.dashboard.model,HudsonCollector,12,118,2,2,6,28,5,5,3,5
com.capitalone.dashboard:jenkins-build-collector,com.capitalone.dashboard.model,HudsonJob,2,48,3,7,1,9,3,5,0,3
com.capitalone.dashboard:jenkins-build-collector,com.capitalone.dashboard.model,HudsonJobConfig,57,0,0,0,13,0,9,0,9,0
